"","Keyword","Article.title","Authors","Journal.title","Volume","Issue","Pages","Volume.year","DOI","Published.online.date","URL","Keword"
"13","Carpogenic germination","Production, Survival and Evaluation of Liquid Culture-produced Inocula of Coniothyrium minitans Against Sclerotinia sclerotiorum","S P BUDGE, M P MCQUILKEN, J M WHIPPS","Biocontrol Science and Technology","7","1","p23 - p36",1997,"10.1080/09583159731018","28-Jun-10","https://doi.org/10.1080/09583159731018",NA
"14","Carpogenic germination","Tan Sclerotia of Sclerotinia Sclerotiorum from Lettuce","L E Garrabrandt, S A Johnston, J L Peterson","Mycologia","75","3","p451 - p456",1983,"10.1080/00275514.1983.12023708","12-Sep-18","https://doi.org/10.1080/00275514.1983.12023708",NA
"15","Carpogenic germination","Biocontrol of Sclerotinia sclerotiorum infection of cabbage by Coniothyrium minitans and Trichoderma spp.","E Eirian Jones, Nimal Rabeendran, Alison Stewart","Biocontrol Science and Technology","24","12","p1363 - p1382",2014,"10.1080/09583157.2014.940847","21-Aug-14","https://doi.org/10.1080/09583157.2014.940847",NA
"16","Carpogenic germination","A Reliable Method for the Production and Maintenance of Germinated Sclerotia of Sclerotinia Sclerotiorium","GJ Boland, EA Smith","Canadian Journal of Plant Pathology","11","1","p45 - p48",1989,"10.1080/07060668909501145","14-Jan-10","https://doi.org/10.1080/07060668909501145",NA
"17","Carpogenic germination","Research on biology and control of Sclerotinia diseases in Canada1","SD Bardin, HC Huang","Canadian Journal of Plant Pathology","23","1","p88 - p98",2001,"10.1080/07060660109506914","1-Apr-10","https://doi.org/10.1080/07060660109506914",NA
"18","Carpogenic germination","Wilt of sunflower from infection by mycelial-germinating sclerotia of Sclerotinia sclerotiorum","J Dueck, HC Huang","Canadian Journal of Plant Pathology","2","2","p47 - p52",1980,"10.1080/07060668009501437","29-Dec-09","https://doi.org/10.1080/07060668009501437",NA
"19","Carpogenic germination","Influence of soil moisture, seeding date, and canola cultivars (Tobin and Westar) on the germination and rotting of sclerotia of Sclerotinia sclerotiorum","RAA Morrall, BK Teo, PR Verma","Canadian Journal of Plant Pathology","11","4","p393 - p399",1989,"10.1080/07060668909501086","29-Dec-09","https://doi.org/10.1080/07060668909501086",NA
"20","Carpogenic germination","Abstracts of papers presented at the annual meeting of the Canadian Phytopathological Society University of British Columbia, Vancouver 14-17 August 1988","","Canadian Journal of Plant Pathology","10","4","p361 - p375",1988,"10.1080/07060668809501714","29-Dec-09","https://doi.org/10.1080/07060668809501714",NA
"21","Carpogenic germination","Tan sclerotia of Sclerotinia sclerotiorum","HC Huang","Canadian Journal of Plant Pathology","3","3","p136 - p138",1981,"10.1080/07060668109501933","29-Dec-09","https://doi.org/10.1080/07060668109501933",NA
"22","Carpogenic germination","Southwestern Ontario Regional Meeting, 2009/Réunion régionale du sud-ouest de l'Ontario, 2009","","Canadian Journal of Plant Pathology","32","3","p425 - p429",2010,"10.1080/07060661.2010.499264","27-Jul-10","https://doi.org/10.1080/07060661.2010.499264",NA
"23","Carpogenic germination","Ecological basis of biological control of soilborne plant pathogens","HC Huang","Canadian Journal of Plant Pathology","14","1","p86 - p91",1992,"10.1080/07060669209500909","29-Dec-09","https://doi.org/10.1080/07060669209500909",NA
"24","Carpogenic germination","Typhula Erythropus: II. Sclerotial Germination and Basidiocarp Production","R E Koske","Mycologia","67","1","p128 - p146",1975,"10.1080/00275514.1975.12019729","12-Sep-18","https://doi.org/10.1080/00275514.1975.12019729",NA
"25","Carpogenic germination","A polymerase chain reaction assay for ascosporic inoculum of Sclerotinia species","DH Gent, FS Hay, SJ Jones, SJ Pethybridge, SJ Pilkington","New Zealand Journal of Crop and Horticultural Science","43","3","p233 - p240",2015,"10.1080/01140671.2015.1025083","26-May-15","https://doi.org/10.1080/01140671.2015.1025083",NA
"26","Carpogenic germination","Predicting diseases caused by Sclerotinia sclerotiorum on canola and bean - a western Canadian perspective","RL Conner, HR Kutcher, JL Lamb, HA Lamey, DL McLaren, RG Platford","Canadian Journal of Plant Pathology","26","4","p489 - p497",2004,"10.1080/07060660409507169","1-Apr-10","https://doi.org/10.1080/07060660409507169",NA
"27","Carpogenic germination","Potential for biocontrol of sclerotinia rot of carrot with foliar sprays of Contans® WG (Coniothyrium minitans)","David Chalton, Mark P McQuilken","Biocontrol Science and Technology","19","2","p229 - p235",2009,"10.1080/09583150802635549","30-Mar-09","https://doi.org/10.1080/09583150802635549",NA
"28","Carpogenic germination","Incubation of excised apothecia enhances ascus maturation of Sclerotinia sclerotiorum","Y-L Peng, Q-M Qin, KV Subbarao, BM Wu","Mycologia","99","1","p33 - p41",2007,"10.1080/15572536.2007.11832598","23-Jan-17","https://doi.org/10.1080/15572536.2007.11832598",NA
"29","Carpogenic germination","First report of Sclerotinia subarctica in France detected with a rapid PCR-based test","Marc Benigni, Magali Duffaud, Stéphane Leignez, Christel Leyronas, Philippe C Nicot, Claire Troulet, François Villeneuve","Canadian Journal of Plant Pathology","40","2","p248 - p253",2018,"10.1080/07060661.2018.1438515","20-Feb-18","https://doi.org/10.1080/07060661.2018.1438515",NA
"30","Carpogenic germination","Assessment of spatial distribution of ascospores of Sclerotinia sclerotiorum for regional disease forecasting in carrots","Greg J Boland, Mary Ruth McDonald, Monica L Parker","Canadian Journal of Plant Pathology","36","4","p438 - p446",2014,"10.1080/07060661.2014.955529","15-Sep-14","https://doi.org/10.1080/07060661.2014.955529",NA
"31","Carpogenic germination","Site-specific risk factors of white mould epidemics in bean (Phaseolus vulgaris) in Tasmania, Australia","DH Gent, FS Hay, SJ Jones, SJ Pethybridge","New Zealand Journal of Crop and Horticultural Science","40","3","p147 - p159",2012,"10.1080/01140671.2011.623707","30-Aug-12","https://doi.org/10.1080/01140671.2011.623707",NA
"32","Carpogenic germination","Epidemiology of white mold of white bean in Ontario","GJ Boland, R Hall","Canadian Journal of Plant Pathology","9","3","p218 - p224",1987,"10.1080/07060668709501877","29-Dec-09","https://doi.org/10.1080/07060668709501877",NA
"33","Carpogenic germination","Structures of Sclerotinia Sclerotiorum Ascocarp and its Septal Pore Ultrastructure","F M Gerola, G Patrignani, Stefania Pellegrini","Caryologia","42","4-Mar","p275 - p283",1989,"10.1080/00087114.1989.10796975","30-Jan-14","https://doi.org/10.1080/00087114.1989.10796975",NA
"34","Carpogenic germination","Abstracts of papers presented at the annual meeting of the Canadian Phytopathological Society University of Guelph, Guelph, Ontario 12-16 August 1984","","Canadian Journal of Plant Pathology","6","3","p259 - p269",1984,"10.1080/07060668409501565","29-Dec-09","https://doi.org/10.1080/07060668409501565",NA
"35","Carpogenic germination","Development and validation of a disease forecast model for Sclerotinia rot of carrot","Gregory J Boland, Adam J Foster, Cezarina Kora, Mary Ruth McDonald","Canadian Journal of Plant Pathology","33","2","p187 - p201",2011,"10.1080/07060661.2011.563753","8-Apr-11","https://doi.org/10.1080/07060661.2011.563753",NA
"36","Carpogenic germination","Inoculum-Disease Relationships in Sclerotinia Stem Rot of Rapeseed in Saskatchewan","RK Gugel","Canadian Journal of Plant Pathology","8","1","p89 - p96",1986,"10.1080/07060668609501848","29-Dec-09","https://doi.org/10.1080/07060668609501848",NA
"37","Carpogenic germination","Effect of Sclerotial Distribution Pattern of Sclerotinia sclerotiorum on Colonizing Ability of Trichoderma harzianum","Yeoung-Seuk Bae, Guy R Knudsen, Kyungseok Park","Mycobiology","29","1","p54 - p57",2001,"10.1080/12298093.2001.12015760","18-Jun-18","https://doi.org/10.1080/12298093.2001.12015760",NA
"38","Carpogenic germination","Practice and precept in cultural management of bean diseases","Robert Hall, Luiz CB Nasser","Canadian Journal of Plant Pathology","18","2","p176 - p185",1996,"10.1080/07060669609500643","29-Dec-09","https://doi.org/10.1080/07060669609500643",NA
"39","Carpogenic germination","Research news highlights / L'actualité scientifique en bref","Zamir K Punja","Canadian Journal of Plant Pathology","24","2","p99 - p102",2002,"10.1080/07060660309506982","1-Apr-10","https://doi.org/10.1080/07060660309506982",NA
"40","Carpogenic germination","Biological control of oilseed rape Sclerotinia stem rot by Bacillus subtilis strain Em7","Yafei Chen, Xiaoning Gao, Qingmei Han, Lili Huang, Zhensheng Kang, Huqiang Qin","Biocontrol Science and Technology","24","1","p39 - p52",2014,"10.1080/09583157.2013.844223","26-Nov-13","https://doi.org/10.1080/09583157.2013.844223",NA
"41","Carpogenic germination","Research news highlights","Zamir K Punja","Canadian Journal of Plant Pathology","25","2","p123 - p126",2003,"10.1080/07060660309507059","1-Apr-10","https://doi.org/10.1080/07060660309507059",NA
"42","Carpogenic germination","Importance of Pollen and Senescent Petals in the Suppression of Alfalfa Blossom Blight (Sclerotinia sclerotiorum) by Coniothyrium minitans","S N Acharya, H C Huang, G Q Li","Biocontrol Science and Technology","13","5","p495 - p505",2003,"10.1080/0958315031000140983","28-Jun-10","https://doi.org/10.1080/0958315031000140983",NA
"43","Carpogenic germination","Outstanding Research/Excellence en recherche. The Canadian Phytopathological Society Award/Prix de la Société canadienne de phytopathologie","","Canadian Journal of Plant Pathology","35","4","p533 - p539",2013,"10.1080/07060661.2013.844409","4-Oct-13","https://doi.org/10.1080/07060661.2013.844409",NA
"44","Carpogenic germination","Comprehensive volatile organic compounds profiling of Bacillus species with biocontrol properties by head space solid phase microextraction with gas chromatography-mass spectrometry","Yue-Qiu He, Hon-Hing Ho, Xing-Yu Li, Zi-Chao Mao, Yi-Xing Wu","Biocontrol Science and Technology","25","2","p132 - p143",2015,"10.1080/09583157.2014.960809","16-Sep-14","https://doi.org/10.1080/09583157.2014.960809",NA
"45","Carpogenic germination","The validity of in vitro screening methods in the search for fungal antagonists of Sclerotinia sclerotiorum causing wilt of sunflower","J S Fenlon, J M Lynch, D C Sandys-Winsch, J M Whipps","Biocontrol Science and Technology","4","3","p269 - p277",1994,"10.1080/09583159409355335","17-Sep-08","https://doi.org/10.1080/09583159409355335",NA
"46","Carpogenic germination","A Review of Apothecial Production by Monilinia Fungi in Japan","Y Harada, H J Willetts","Mycologia","76","2","p314 - p325",1984,"10.1080/00275514.1984.12023840","12-Sep-18","https://doi.org/10.1080/00275514.1984.12023840",NA
"47","Carpogenic germination","Organic amendment of commercial culture media for improving control of Rhizoctonia damping-off of cabbage","WC Chung, HC Huang, JW Huang, FL Shiau","Canadian Journal of Plant Pathology","21","4","p368 - p374",1999,"10.1080/07060669909501173","21-Dec-09","https://doi.org/10.1080/07060669909501173",NA
"48","Carpogenic germination","Tree mulches reduce sclerotial numbers and apothecial production by Ciborinia camelliae","M W Dench, M V Jaspers, A Stewart, R F van Toor","New Zealand Journal of Crop and Horticultural Science","33","2","p161 - p168",2005,"10.1080/01140671.2005.9514345","22-Mar-10","https://doi.org/10.1080/01140671.2005.9514345",NA
"49","Carpogenic germination","Influence of soil moisture, seeding date, and Rhizoctonia solani isolates (AG 2-1 and AG 4) on disease incidence and yield in canola","RAA Morrall, BK Teo, PR Verma, SM Yitbarek","Canadian Journal of Plant Pathology","10","2","p151 - p158",1988,"10.1080/07060668809501747","29-Dec-09","https://doi.org/10.1080/07060668809501747",NA
"50","Carpogenic germination","Typhula phacorrhiza on winter wheat","Edward F Schneider, WL Seaman","Canadian Journal of Plant Pathology","8","3","p269 - p276",1986,"10.1080/07060668609501799","29-Dec-09","https://doi.org/10.1080/07060668609501799",NA
"51","Carpogenic germination","Disruption of a gene encoding a hypothetical secreted protein from Sclerotinia sclerotiorum reduces its virulence on canola (Brassica napus)","Maria R Davis, Nat N V Kav, Yue Liang, Stephen E Strelkov, William Yajima","Canadian Journal of Plant Pathology","35","1","p46 - p55",2013,"10.1080/07060661.2012.745904","17-Dec-12","https://doi.org/10.1080/07060661.2012.745904",NA
"52","Carpogenic germination","Effects of colonisation by different strains of Coniothyrium minitans on the viability of sclerotia of Sclerotinia sclerotiorum","Lan Jing, Shrishail S Navi, Xiaobing Yang","Biocontrol Science and Technology","25","4","p460 - p474",2015,"10.1080/09583157.2014.989386","19-Nov-14","https://doi.org/10.1080/09583157.2014.989386",NA
"53","Carpogenic germination","Forecasting diseases caused by Sclerotinia spp. in eastern Canada: fact or fiction?","Greg J Boland, Mary Ruth McDonald","Canadian Journal of Plant Pathology","26","4","p480 - p488",2004,"10.1080/07060660409507168","1-Apr-10","https://doi.org/10.1080/07060660409507168",NA
"54","Carpogenic germination","Use of petal infestation to forecast sclerotinia stem rot of canola: Evaluation of early bloom sampling, 1985-90","RK Gugel, RAA Morrall, TK Turkington","Canadian Journal of Plant Pathology","13","1","p50 - p59",1991,"10.1080/07060669109500965","29-Dec-09","https://doi.org/10.1080/07060669109500965",NA
"55","Carpogenic germination","Status of biological disease control in horticulture","J M Whipps","Biocontrol Science and Technology","2","1","p3 - p24",1992,"10.1080/09583159209355213","20-Sep-08","https://doi.org/10.1080/09583159209355213",NA
"56","Carpogenic germination","Risk Analysis of Sclerotinia sclerotiorum for Biological Control of Cirsium arvense in Pasture: Sclerotium Survival","G W Bourdôt, I C Harvey, G A Hurrell, D J Saville, M D de Jong","Biocontrol Science and Technology","10","4","p411 - p425",2000,"10.1080/09583150050115007","28-Jun-10","https://doi.org/10.1080/09583150050115007",NA
"57","Carpogenic germination","Index of plant hosts of Sclerotinia sclerotiorum","GJ Boland, R Hall","Canadian Journal of Plant Pathology","16","2","p93 - p108",1994,"10.1080/07060669409500766","29-Dec-09","https://doi.org/10.1080/07060669409500766",NA
"58","Carpogenic germination","Risk Analysis of Sclerotinia sclerotiorum for Biological Control of Cirsium arvense in Pasture: Ascospore Dispersal","G W Bourdôt, D M D DeJong, G A Hurrell, D J Saville","Biocontrol Science and Technology","11","1","p119 - p139",2001,"10.1080/09583150020029808","28-Jun-10","https://doi.org/10.1080/09583150020029808",NA
"59","Carpogenic germination","Abstracts of papers presented at the annual meeting of the Canadian Phytopathological Society Laval University, Ste-Foy, Quebec 7 10 August 1983","","Canadian Journal of Plant Pathology","5","3","p200 - p213",1983,"10.1080/07060668309501628","29-Dec-09","https://doi.org/10.1080/07060668309501628",NA
"60","Carpogenic germination","Annual Meeting, 2011 / Réunion annuelle, 2011 The Canadian Phytopathological Society","","Canadian Journal of Plant Pathology","34","2","p323 - p348",2012,"10.1080/07060661.2012.686652","11-Jul-12","https://doi.org/10.1080/07060661.2012.686652",NA
"61","Carpogenic germination","Occurrence of perithecia of Gibberella fujikuroi mating population A (Fusarium moniliforme) on maize stubble in northern Vietnam","D Backhouse, S Bullock, L W Burgess, B A Summerell, Nguyen Duc Tri","Mycologia","90","5","p890 - p895",1998,"10.1080/00275514.1998.12026982","28-Aug-18","https://doi.org/10.1080/00275514.1998.12026982",NA
"62","Carpogenic germination","Artificial cultivation of true morels: current state, issues and perspectives","Caihong Dong, Qizheng Liu, Husheng Ma, Ya Zhang","Critical Reviews in Biotechnology","38","2","p259 - p271",2018,"10.1080/07388551.2017.1333082","6-Jun-17","https://doi.org/10.1080/07388551.2017.1333082",NA
"63","Carpogenic germination","Laboulbeniomycetes: Evolution, natural history, and Thaxter's final word","Meredith Blackwell, Danny Haelewaters, Donald H Pfister","Mycologia","112","6","p1048 - p1059",2020,"10.1080/00275514.2020.1718442","17-Mar-20","https://doi.org/10.1080/00275514.2020.1718442",NA
"64","Carpogenic germination","Evaluation of a granular formulation containing Metarhizium brunneum F52 (Hypocreales: Clavicipitaceae) microsclerotia in controlling eggs of Aedes aegypti (Diptera: Culicidae)","Robert W Behle, Lina B Flor-Weiler, Eric T Johnson, Alejandro P Rooney, Daniel A Strickman","Biocontrol Science and Technology","29","1","p68 - p82",2019,"10.1080/09583157.2018.1530342","11-Oct-18","https://doi.org/10.1080/09583157.2018.1530342",NA
"65","Carpogenic germination","Reaction and survival of four types of sunflowers against Sclerotinia sclerotiorum under controlled conditions","Rouya Ebrahimi, Mahdi Ghaffari, Youbert Ghoosta, Siamak Rahmanpour","Archives of Phytopathology and Plant Protection","47","16","p2033 - p2042",2014,"10.1080/03235408.2013.868694","20-Jun-14","https://doi.org/10.1080/03235408.2013.868694",NA
"66","Carpogenic germination","Reaction of sunflower varieties to Sclerotinia sclerotiorum under various inoculation methods, time of field evaluation and phylogenic stages of host","Rouya Ebrahimi, Youbert Ghosta, Siamak Rahmanpour, Saeed Rezaee, Masoud Soltani Najafabadi","Archives of Phytopathology and Plant Protection","46","7","p825 - p840",2013,"10.1080/03235408.2012.753181","5-Apr-13","https://doi.org/10.1080/03235408.2012.753181",NA
"67","Carpogenic germination","Infection of carrots by Sclerotinia sclerotiorum","JE Finlayson, MK Pritchard, SR Rimmer","Canadian Journal of Plant Pathology","11","3","p242 - p246",1989,"10.1080/07060668909501106","29-Dec-09","https://doi.org/10.1080/07060668909501106",NA
"68","Carpogenic germination","Effect of soil microorganisms on viability of sclerotia of Ciborinia camelliae, the causal agent of camellia flower blight","M V Jaspers, A Stewart, R F van Toor","New Zealand Journal of Crop and Horticultural Science","33","2","p149 - p160",2005,"10.1080/01140671.2005.9514344","22-Mar-10","https://doi.org/10.1080/01140671.2005.9514344",NA
"69","Carpogenic germination","Influence of crop rotation and tillage on production of apothecia by Sclerotinia sclerotiorum","GJ Boland, JA Gracia- Garza, S Neumann, TJ Vyn","Canadian Journal of Plant Pathology","24","2","p137 - p143",2002,"10.1080/07060660309506988","1-Apr-10","https://doi.org/10.1080/07060660309506988",NA
"70","Carpogenic germination","Differential production of sclerotia by isolates of Sclerotinia sclerotiorum from Alaska","Roseann Hartke Leiner, Loretta M Winton","Canadian Journal of Plant Pathology","28","3","p435 - p440",2006,"10.1080/07060660609507317","1-Apr-10","https://doi.org/10.1080/07060660609507317",NA
"71","Carpogenic germination","Interactions among low-temperature-tolerant fungi: Prelude to biological control","LL Burpee","Canadian Journal of Plant Pathology","16","3","p247 - p250",1994,"10.1080/07060669409500762","29-Dec-09","https://doi.org/10.1080/07060669409500762",NA
"72","Carpogenic germination","Suppressive soil against Sclerotinia sclerotiorum as a source of potential biocontrol agents: selection and evaluation of Clonostachys rosea BAFC1646","GM Cabrera, AM Godeas, TE Lo, MA Rodríguez, C Rothen","Biocontrol Science and Technology","25","12","p1388 - p1409",2015,"10.1080/09583157.2015.1052372","18-Sep-15","https://doi.org/10.1080/09583157.2015.1052372",NA
"73","Carpogenic germination","Genetic diversity of Sclerotinia species from Alaskan vegetable crops","Andrew L Krohn, Roseann Hartke Leiner, Loretta M Winton","Canadian Journal of Plant Pathology","28","3","p426 - p434",2006,"10.1080/07060660609507316","1-Apr-10","https://doi.org/10.1080/07060660609507316",NA
"74","Carpogenic germination","Epidemiology of sclerotinia rot of carrot caused by Sclerotinia sclerotiorum","GJ Boland, C Kora, MR McDonald","Canadian Journal of Plant Pathology","27","2","p245 - p258",2005,"10.1080/07060660509507222","1-Apr-10","https://doi.org/10.1080/07060660509507222",NA
"75","Carpogenic germination","Heat Inactivation of Sclerotia of Sclerotinia Sclerotiorum","J Dueck, AJ Klassen, RAA Morrall, J Vose","Canadian Journal of Plant Pathology","3","2","p73 - p75",1981,"10.1080/07060668109501385","29-Dec-09","https://doi.org/10.1080/07060668109501385",NA
"76","Carpogenic germination","Nonlinear colony extension of Sclerotinia minor and S. sclerotiorum","Q-M Qin, KV Subbarao, BM Wu","Mycologia","100","6","p902 - p910",2008,"10.3852/08-021","20-Jan-17","https://doi.org/10.3852/08-021",NA
"77","Carpogenic germination","Selection of mycoparasites of sclerotia of Sclerotinia sclerotiorum isolated from New Zealand soils","E E Jones, A Stewart","New Zealand Journal of Crop and Horticultural Science","28","2","p105 - p114",2000,"10.1080/01140671.2000.9514130","22-Mar-10","https://doi.org/10.1080/01140671.2000.9514130",NA
"78","Fungicide and Sclerotinia","Control of Sclerotinia sclerotiorum infection in oilseed rape with strobilurin fungicide SYP-7017","Ya-Bing Duan, Yong Wang, Ming-Guo Zhou","Canadian Journal of Plant Pathology","36","3","p354 - p359",2014,"10.1080/07060661.2014.925001","4-Jun-14","https://doi.org/10.1080/07060661.2014.925001",NA
"79","Fungicide and Sclerotinia","Assessing in vitro efficacy of certain fungicides to control Sclerotinia sclerotiorum in peanut","Gurleen Kaur, Phillip Lujan, Naveen Puppala, Soum Sanogo, Robert Steiner","Archives of Phytopathology and Plant Protection","52","2-Jan","p184 - p199",2019,"10.1080/03235408.2019.1603350","25-Apr-19","https://doi.org/10.1080/03235408.2019.1603350",NA
"80","Fungicide and Sclerotinia","Greenhouse evaluation of Trichoderma harzianum for the control of Sclerotinia wilt (Sclerotinia sclerotiorum) of sunflower","Mark D Laing, James R Mathews, Benice J Sivparsad","South African Journal of Plant and Soil","36","1","p69 - p72",2019,"10.1080/02571862.2018.1484189","22-Jan-19","https://doi.org/10.1080/02571862.2018.1484189",NA
"81","Fungicide and Sclerotinia","Development and validation of a disease forecast model for Sclerotinia rot of carrot","Gregory J Boland, Adam J Foster, Cezarina Kora, Mary Ruth McDonald","Canadian Journal of Plant Pathology","33","2","p187 - p201",2011,"10.1080/07060661.2011.563753","8-Apr-11","https://doi.org/10.1080/07060661.2011.563753",NA
"82","Fungicide and Sclerotinia","Differential activity of fungicides on various stages in the life cycle of Sclerotinia spp.","B T Hawthorne, W R Jarvis","New Zealand Journal of Agricultural Research","16","4","p551 - p557",1973,"10.1080/00288233.1973.10421103","28-Nov-12","https://doi.org/10.1080/00288233.1973.10421103",NA
"83","Fungicide and Sclerotinia","Carpogenic germination of sclerotia of Sclerotinia minor and ascosporic infection of pyrethrum flowers","David H Gent, Frank S Hay, Thomas B O'Malley, Sarah J Pethybridge, Jason B Scott, Roger G Shivas","Canadian Journal of Plant Pathology","37","2","p179 - p187",2015,"10.1080/07060661.2015.1036122","24-Apr-15","https://doi.org/10.1080/07060661.2015.1036122",NA
"84","Fungicide and Sclerotinia","Biology and mycovirus-assisted biological control of Sclerotinia sclerotiorum infecting vegetable and oilseed crops","Tanvi Gupta, Saurabh Kulshrestha, Chandresh Kumari, Vanshika","Archives of Phytopathology and Plant Protection","52","13-14","p1049 - p1067",2019,"10.1080/03235408.2019.1688913","17-Nov-19","https://doi.org/10.1080/03235408.2019.1688913",NA
"85","Fungicide and Sclerotinia","A polymerase chain reaction assay for ascosporic inoculum of Sclerotinia species","DH Gent, FS Hay, SJ Jones, SJ Pethybridge, SJ Pilkington","New Zealand Journal of Crop and Horticultural Science","43","3","p233 - p240",2015,"10.1080/01140671.2015.1025083","26-May-15","https://doi.org/10.1080/01140671.2015.1025083",NA
"86","Fungicide and Sclerotinia","Fungal viruses, hypovirulence, and biological control of Sclerotinia species","Greg J Boland","Canadian Journal of Plant Pathology","26","1","p6 - p18",2004,"10.1080/07060660409507107","1-Apr-10","https://doi.org/10.1080/07060660409507107",NA
"87","Fungicide and Sclerotinia","Diagnosis and management of Sclerotinia stem rot (white mould) of lentils in Greece","Ioannis Vagelas","Archives of Phytopathology and Plant Protection","47","10","p1209 - p1217",2014,"10.1080/03235408.2013.835986","8-Apr-14","https://doi.org/10.1080/03235408.2013.835986",NA
"88","Fungicide and Sclerotinia","Sensitivity of Australian Sclerotinia sclerotiorum isolates from bean fields to boscalid","DH Gent, FS Hay, SJ Jones, SJ Pethybridge","New Zealand Journal of Crop and Horticultural Science","39","3","p203 - p207",2011,"10.1080/01140671.2011.563425","1-Jun-11","https://doi.org/10.1080/01140671.2011.563425",NA
"89","Fungicide and Sclerotinia","Suppression of carbendazim-susceptible and -resistant Sclerotinia sclerotiorum with Macleya alkaloids","Qingchun Huang, Liming Tao, Xiwei Wu, Xiaoqin Yu","Archives of Phytopathology and Plant Protection","48","6","p485 - p494",2015,"10.1080/03235408.2015.1045231","26-May-15","https://doi.org/10.1080/03235408.2015.1045231",NA
