"","Keyword","Item.Title","Publication.Title","Book.Series.Title","Journal.Volume","Journal.Issue","Item.DOI","Authors","Publication.Year","URL","Content.Type","Kyeword"
"11","Carpogenic germination","Inhibitory effect of Fungastop and Bion against carrot soft rot caused by Sclerotinia sclerotiorum","Phytoparasitica",NA,48,"1","10.1007/s12600-019-00780-9","Seyedmohammadreza OjaghianLing WangJing-Ze ZhangGuan-Lin Xie",2020,"http://link.springer.com/article/10.1007/s12600-019-00780-9","Article",NA
"12","Carpogenic germination","Inhibitory efficacy of rapamycin against potato white mold","Journal of Plant Diseases and Protection",NA,127,"4","10.1007/s41348-020-00335-9","Seyedmohammadreza OjaghianLing WangLi Wang",2020,"http://link.springer.com/article/10.1007/s41348-020-00335-9","Article",NA
"13","Carpogenic germination","The biology ofSclerotinia sclerotiorum,S. trifoliorum, andS. minor with emphasis on specific nomenclature","The Botanical Review",NA,46,"2","10.1007/BF02860868","H. J. WillettsJ. A. L. Wong",1980,"http://link.springer.com/article/10.1007/BF02860868","Article",NA
"14","Carpogenic germination","Biological control of the soil-borne fungal pathogen Sclerotinia sclerotiorum –– a review","Journal of Plant Pathology",NA,100,"1","10.1007/s42161-018-0023-0","Urszula SmolińskaBeata Kowalska",2018,"http://link.springer.com/article/10.1007/s42161-018-0023-0","Article",NA
"15","Carpogenic germination","Activity of Purpureocillium lilacinum filtrates on biochemical characteristics of Sclerotinia sclerotiorum and induction of defense responses in common bean","European Journal of Plant Pathology",NA,155,"1","10.1007/s10658-019-01748-5","Elsherbiny A. ElsherbinyMohamed A. TaherMahmoud F. Elsebai",2019,"http://link.springer.com/article/10.1007/s10658-019-01748-5","Article",NA
"16","Carpogenic germination","Variation within isolates ofTyphula incarnata from localities differing in winter climate","Mycoscience",NA,36,"2","10.1007/BF02268551","Naoyuki MatsumotoJiro AbeTadayuki Shimanuki",1995,"http://link.springer.com/article/10.1007/BF02268551","Article",NA
"17","Carpogenic germination","Genetic diversity studies based on morpho-pathological and molecular variability of the Sclerotinia sclerotiorum population infecting potato (Solanum tuberosum L.)","World Journal of Microbiology and Biotechnology",NA,36,"12","10.1007/s11274-020-02952-w","Sorabh ChaudharyMehi LalSushma SagarHimanshu TyagiManoj KumarSanjeev SharmaS. K. Chakrabarti",2020,"http://link.springer.com/article/10.1007/s11274-020-02952-w","Article",NA
"18","Carpogenic germination","Studies on the germination of sclerotia of Sclerotinia sclerotiorum","Journal of Plant Diseases and Protection",NA,114,"1","10.1007/BF03356198","Y. LiuV. H. Paul",2007,"http://link.springer.com/article/10.1007/BF03356198","Article",NA
"19","Carpogenic germination","Biology and biocontrol of Sclerotinia sclerotiorum (Lib.) de Bary in oilseed Brassicas","Australasian Plant Pathology",NA,45,"1","10.1007/s13313-015-0391-2","Mohd. Mostofa KamalSandra SavocchiaKurt D. LindbeckGavin J. Ash",2016,"http://link.springer.com/article/10.1007/s13313-015-0391-2","Article",NA
"20","Carpogenic germination","First report of stem rot and wilt of chickpea caused by Sclerotinia minor in Queensland, Australia","Australasian Plant Pathology",NA,32,"2","10.1071/AP03017","M. J. FuhlbohmJ. R. TatnellM. J. Ryley",2003,"http://link.springer.com/article/10.1071/AP03017","Article",NA
"21","Carpogenic germination","An overview of the Sclerotinia sclerotiorum pathosystem in soybean: impact, fungal biology, and current management strategies","Tropical Plant Pathology",NA,44,"1","10.1007/s40858-018-0250-0","Jaime WillburMegan McCagheyMehdi KabbageDamon L. Smith",2019,"http://link.springer.com/article/10.1007/s40858-018-0250-0","Article",NA
"22","Carpogenic germination","The potential use of ascospores as the active ingredient for a Sclerotinia sclerotiorum-based mycoherbicide","Australasian Plant Pathology",NA,37,"5","10.1071/AP08037","B. M. PottingerH. J. RidgwayG. W. BourdôtA. Stewart",2008,"http://link.springer.com/article/10.1071/AP08037","Article",NA
"23","Carpogenic germination","Production, survival and evaluation of solid-substrate inocula ofConiothyrium minitans againstSclerotinia sclerotiorum","European Journal of Plant Pathology",NA,101,"1","10.1007/BF01876098","M. P. McQuilkenJ. M. Whipps",1995,"http://link.springer.com/article/10.1007/BF01876098","Article",NA
"24","Carpogenic germination","First report of Sclerotinia sclerotiorum on potato plants in Iran","Australasian Plant Disease Notes",NA,4,"1","10.1071/DN09016","M. R. Ojaghian",2009,"http://link.springer.com/article/10.1071/DN09016","Article",NA
"25","Carpogenic germination","Occurence of sclerotinia stem rot of fenugreek caused by Sclerotinia trifoliorum and S. sclerotiorum in Tunisia","European Journal of Plant Pathology",NA,149,"3","10.1007/s10658-017-1208-7","S. GargouriS. BerraiesM. S. GharbiT. PaulitzT. D. MurrayL. W. Burgess",2017,"http://link.springer.com/article/10.1007/s10658-017-1208-7","Article",NA
"26","Carpogenic germination","Identification of Sclerotinia species","Australasian Plant Pathology",NA,34,"4","10.1071/AP05068","M. G. EkinsE. A. B. AitkenK. C. Goulter",2005,"http://link.springer.com/article/10.1071/AP05068","Article",NA
"27","Carpogenic germination","Forewarning models for Sclerotinia rot (Sclerotinia sclerotiorum) in Indian mustard (Brassica juncea L.)","Phytoparasitica",NA,43,"4","10.1007/s12600-015-0463-4","Pankaj SharmaP. D. MeenaAmrender KumarVinod KumarD. Singh",2015,"http://link.springer.com/article/10.1007/s12600-015-0463-4","Article",NA
"28","Carpogenic germination","Stem rot disease incidence on faba beans in an artificially infested field","Journal of Plant Diseases and Protection",NA,114,"3","10.1007/BF03356719","A. S. LithourgidisD. G. RoupakiasK. Tzavella-Klonari",2007,"http://link.springer.com/article/10.1007/BF03356719","Article",NA
"29","Carpogenic germination","Biotechnology of morel mushrooms: successful fruiting body formation and development in a soilless system","Biotechnology Letters",NA,32,"10","10.1007/s10529-010-0328-3","Segula Masaphy",2010,"http://link.springer.com/article/10.1007/s10529-010-0328-3","Article",NA
"30","Carpogenic germination","A new record of Sclerotinia sclerotiorum infecting potato plants in China","Journal of Plant Pathology",NA,102,"4","10.1007/s42161-020-00554-x","Seyedmohammadreza Ojaghian",2020,"http://link.springer.com/article/10.1007/s42161-020-00554-x","Article",NA
"31","Carpogenic germination","Effects of Soil Flooding on the Survival of Two Potato Pathogens, Sclerotinia sclerotiorum and Verticillium dahliae","American Journal of Potato Research",NA,90,"6","10.1007/s12230-013-9332-1","J. NiemB. GundersenD. A. Inglis",2013,"http://link.springer.com/article/10.1007/s12230-013-9332-1","Article",NA
"32","Carpogenic germination","Ascospore dimorphism-associated mating types of Sclerotinia trifoliorum equally capable of inducing mycelial infection on chickpea plants","Australasian Plant Pathology",NA,40,"6","10.1007/s13313-011-0069-3","Evans Nyaga NjambereWeidong ChenCarol FrateSteve R. Temple",2011,"http://link.springer.com/article/10.1007/s13313-011-0069-3","Article",NA
"33","Carpogenic germination","Two mating-type genes MAT1-1-1 and MAT1-1-2 with significant functions in conidiation, stress response, sexual development, and pathogenicity of rice false smut fungus Villosiclava virens","Current Genetics",NA,66,"5","10.1007/s00294-020-01085-9","Mingli YongJunjie YuXiayan PanMina YuHuijuan CaoTianqiao SongZhongqiang QiYan DuRongsheng ZhangXiaole YinWende LiuYongfeng Liu",2020,"http://link.springer.com/article/10.1007/s00294-020-01085-9","Article",NA
"34","Carpogenic germination","Suppressive effects of Bacillus spp. on mycelia, apothecia and sclerotia formation of Sclerotinia sclerotiorum and potential as biological control of white mold on mustard","Australasian Plant Pathology",NA,45,"1","10.1007/s13313-016-0397-4","Md Muzahid E RahmanDelwar M. HossainKazuki SuzukiAyaka ShiiyaKazushi SuzukiTapan Kumar DeyMasanori NonakaNaoki Harada",2016,"http://link.springer.com/article/10.1007/s13313-016-0397-4","Article",NA
"35","Carpogenic germination","Histopathology of Sclerotinia Sclerotiorum Attack on Flower Parts of Helianthus Annuus heads in Tolerant and Susceptible Varieties","Mycopathologia",NA,157,"3","10.1023/B:MYCO.0000024177.82916.b7","M.A. RodríguezN. VenedikianM.E. BazzaloA. Godeas",2004,"http://link.springer.com/article/10.1023/B%3AMYCO.0000024177.82916.b7","Article",NA
"36","Carpogenic germination","Development of procedures to identify red clover resistant toSclerotinia trifoliorum","Euphytica",NA,77,"3","10.1007/BF02262639","P. MarumR. R. SmithC. R. Grau",1994,"http://link.springer.com/article/10.1007/BF02262639","Article",NA
"37","Carpogenic germination","Natural infection of potato by Sclerotinia sclerotiorum causing stem rot disease in Turkey","Australasian Plant Disease Notes",NA,12,"1","10.1007/s13314-017-0266-1","Şener KurtAysun UysalMerve KaraSoner SoyluEmine Mine Soylu",2017,"http://link.springer.com/article/10.1007/s13314-017-0266-1","Article",NA
"38","Carpogenic germination","News from the executive","Australasian Plant Pathology",NA,14,"1","10.1007/BF03213290","",1985,"http://link.springer.com/article/10.1007/BF03213290","Article",NA
"39","Carpogenic germination","Effect of Inoculum Rates and Sources of Coniothyrium minitans on Control of Sclerotinia sclerotiorum Disease in Glasshouse Lettuce","European Journal of Plant Pathology",NA,108,"6","10.1023/A:1019940820230","E.E. JonesJ.M. Whipps",2002,"http://link.springer.com/article/10.1023/A%3A1019940820230","Article",NA
"40","Carpogenic germination","Check-list for scientific names of common parasitic fungi. Series 2d: Fungi on field crops: Vegetables and cruciferous crops","Netherlands Journal of Plant Pathology",NA,86,"4","10.1007/BF01982202","G. H. BoeremaAdriana A. Verhoeven",1980,"http://link.springer.com/article/10.1007/BF01982202","Article",NA
"41","Carpogenic germination","Sclerotinia minor on canola petals in New South Wales — a possible airborne mode of infection by ascospores?","Australasian Plant Pathology",NA,30,"3","10.1071/AP01041","T. L. HindG. J. AshG. M. Murray",2001,"http://link.springer.com/article/10.1071/AP01041","Article",NA
"42","Carpogenic germination","Survival of Sclerotinia sclerotia under fire","Australasian Plant Pathology",NA,34,"3","10.1071/AP05048","T. L. Hind-LanoiseletV. M. LanoiselerF. K. LewingtonG. J. AshG. M. Murray",2005,"http://link.springer.com/article/10.1071/AP05048","Article",NA
"43","Carpogenic germination","Influence of host on behavior ofSclerotinia sclerotiorum","Journal of Forestry Research",NA,8,"1","10.1007/BF02864940","Yang QianMa Ling",1997,"http://link.springer.com/article/10.1007/BF02864940","Article",NA
"44","Carpogenic germination","Gene regulation of Sclerotinia sclerotiorum during infection of Glycine max: on the road to pathogenesis","BMC Genomics",NA,20,"1","10.1186/s12864-019-5517-4","Nathaniel M. WestrickAshish RanjanSachin JainCraig R. GrauDamon L. SmithMehdi Kabbage",2019,"http://link.springer.com/article/10.1186/s12864-019-5517-4","Article",NA
"45","Carpogenic germination","Reserve substances inPaxillus involutus sclerotia","Protoplasma",NA,163,"3-Feb","10.1007/BF01323331","A. E. P. MooreA. E. AshfordR. L. Peterson",1991,"http://link.springer.com/article/10.1007/BF01323331","Article",NA
"46","Carpogenic germination","Differential susceptibility to the mycoparasite Paraphaeosphaeria minitans among Sclerotinia sclerotiorum isolates","Tropical Plant Pathology",NA,44,"1","10.1007/s40858-018-0256-7","Philippe C. NicotFélicie AvrilMagali DuffaudChristel LeyronasClaire TrouletFrançois VilleneuveMarc Bardin",2019,"http://link.springer.com/article/10.1007/s40858-018-0256-7","Article",NA
"47","Carpogenic germination","Physiological aspects of sex in angiosperms","The Botanical Review",NA,4,"11","10.1007/BF02872451","Walter F. Loehwing",1938,"http://link.springer.com/article/10.1007/BF02872451","Article",NA
"48","Carpogenic germination","Fungal populations on sunflower ( Helianthus annuus ) anthosphere and their relation to susceptibility or tolerance to Sclerotinia sclerotiorum attack","Mycopathologia",NA,150,"3","10.1023/A:1010994317980","M.A. RodríguezN. VenedikianA. Godeas",2001,"http://link.springer.com/article/10.1023/A%3A1010994317980","Article",NA
"49","Carpogenic germination","Patterns of inheritance for cotyledon resistance against Sclerotinia sclerotiorum in Brassica napus","Euphytica",NA,216,"5","10.1007/s10681-020-02612-y","Muhammad Azam KhanWallace CowlingSurinder Singh BangaMing Pei YouVikrant TyagiBaudh BhartiMartin J. Barbetti",2020,"http://link.springer.com/article/10.1007/s10681-020-02612-y","Article",NA
"50","Carpogenic germination","Host Traits Influencing Severity of White Mold of Potatoes in a Rainfed Environment","American Journal of Potato Research",NA,90,"4","10.1007/s12230-013-9327-y","Andrew B. PlantDavid H. Lambert",2013,"http://link.springer.com/article/10.1007/s12230-013-9327-y","Article",NA
"51","Carpogenic germination","Non-gramineous hosts ofMyriosclerotinia borealis","Mycoscience",NA,39,"2","10.1007/BF02464052","Izumi Saito",1998,"http://link.springer.com/article/10.1007/BF02464052","Article",NA
"52","Carpogenic germination","Characterization of white mold disease avoidance in common bean","European Journal of Plant Pathology",NA,135,"3","10.1007/s10658-012-0153-8","Phillip N. MiklasLyndon D. PorterJames D. KellyJames R. Myers",2013,"http://link.springer.com/article/10.1007/s10658-012-0153-8","Article",NA
"53","Carpogenic germination","Regional news","Australasian Plant Pathology",NA,14,"1","10.1007/BF03213291","",1985,"http://link.springer.com/article/10.1007/BF03213291","Article",NA
"54","Carpogenic germination","A new Naccaria from the West Indies","Hydrobiologia",NA,38,"2","10.1007/BF00036834","Wm. Randolph Taylor",1971,"http://link.springer.com/article/10.1007/BF00036834","Article",NA
"55","Carpogenic germination","Population structure of Sclerotinia sclerotiorum on sunflower in Australia","Australasian Plant Pathology",NA,40,"2","10.1007/s13313-010-0018-6","M. G. EkinsH. L. HaydenE. A. B. AitkenK. C. Goulter",2011,"http://link.springer.com/article/10.1007/s13313-010-0018-6","Article",NA
"56","Carpogenic germination","Biological Control of Sclerotinia Diseases of Rapeseed by Aerial Applications of the Mycoparasite Coniothyrium minitans","European Journal of Plant Pathology",NA,114,"4","10.1007/s10658-005-2232-6","G. Q. LiH. C. HuangH. J. MiaoR. S. EricksonD. H. JiangY. N. Xiao",2006,"http://link.springer.com/article/10.1007/s10658-005-2232-6","Article",NA
"57","Carpogenic germination","A Polymerase Chain Reaction (PCR) Assay for the Detection of Inoculum of Sclerotinia sclerotiorum","European Journal of Plant Pathology",NA,108,"9","10.1023/A:1021216720024","Jacqueline FreemanElaine WardCarmen CalderonAlastair McCartney",2002,"http://link.springer.com/article/10.1023/A%3A1021216720024","Article",NA
"58","Carpogenic germination","Morphological and molecular diversity of Sclerotinia sclerotiorum infecting Indian mustard","Indian Phytopathology",NA,71,"3","10.1007/s42360-018-0054-7","A. S. RathiMinakshi JattanRakesh PuniaSubaran SinghPawan KumarRam Avtar",2018,"http://link.springer.com/article/10.1007/s42360-018-0054-7","Article",NA
"59","Carpogenic germination","Phenotypic and genotypic characterization of single isolate-derived monoascospore strains of Sclerotinia sclerotiorum from common bean","Tropical Plant Pathology",NA,44,"6","10.1007/s40858-019-00304-0","Mariana Junqueira de AbreuMonik Evelin LeiteAlex Naves FerreiraElaine Aparecida de Souza",2019,"http://link.springer.com/article/10.1007/s40858-019-00304-0","Article",NA
"60","Carpogenic germination","Molecular characterization, mycelial compatibility grouping, and aggressiveness of a newly emerging phytopathogen, Sclerotinia sclerotiorum, causing white mold disease in new host crops in Bangladesh","Journal of Plant Pathology",NA,102,"3","10.1007/s42161-020-00503-8","M. M. E. RahmanK. SuzukiM. M. IslamT. K. DeyN. HaradaD. M. Hossain",2020,"http://link.springer.com/article/10.1007/s42161-020-00503-8","Article",NA
"61","Carpogenic germination","Use of sclerotia ofSclerotinia sclerotiorum for efficient production of conidia ofConiothyrium minitans in liquid culture","Phytoparasitica",NA,35,"2","10.1007/BF02981108","Hung-Chang HuangR. Scott Erickson",2007,"http://link.springer.com/article/10.1007/BF02981108","Article",NA
"62","Carpogenic germination","First report of white mould caused by Sclerotinia sclerotiorum on jackfruit","Australasian Plant Disease Notes",NA,10,"1","10.1007/s13314-014-0155-9","Md Muzahid E RahmanTapan Kumar DeyDelwar M. HossainMasanori NonakaNaoki Harada",2015,"http://link.springer.com/article/10.1007/s13314-014-0155-9","Article",NA
"63","Carpogenic germination","Special issue on white mold - Sclerotinia sclerotiorum","Tropical Plant Pathology",NA,44,"1","10.1007/s40858-019-00276-1","Eduardo S. G. Mizubuti",2019,"http://link.springer.com/article/10.1007/s40858-019-00276-1","Article",NA
"64","Carpogenic germination","First report of Coniothyrium minitans, a mycoparasite of Sclerotinia sclerotiorum, in Iran","Australasian Plant Disease Notes",NA,4,"1","10.1071/DN09032","M. R. Ojaghian",2009,"http://link.springer.com/article/10.1071/DN09032","Article",NA
"65","Carpogenic germination","Overwintering of Coniothyrium minkans, a mycoparasite of Sclerotinia sclerotiorum, on the Canadian Prairies","Australasian Plant Pathology",NA,31,"3","10.1071/AP02019","H. C. HuangR. S. Erickson",2002,"http://link.springer.com/article/10.1071/AP02019","Article",NA
"66","Carpogenic germination","Identification of Greenhouse Characteristics which Affect the Incidence of Sclerotinia sclerotiorum (Lib.) de Bary in Pepper Crops in a Mediterranean Climate","European Journal of Plant Pathology",NA,106,"2","10.1023/A:1008789426172","A. CuadradoE. GallegoJ. SánchezV. Gómez",2000,"http://link.springer.com/article/10.1023/A%3A1008789426172","Article",NA
"67","Carpogenic germination","A methodology for risk analysis of plurivorous fungi in biological weed control: Sclerotinia sclerotiorum as a model","BioControl",NA,43,"4","10.1023/A:1009927012295","Meindert D. De JongDonald E. AylorGraeme W. Bourdôt",1999,"http://link.springer.com/article/10.1023/A%3A1009927012295","Article",NA
"68","Carpogenic germination","Aggressiveness among isolates of Sclerotinia sclerotiorum from sunflower","Australasian Plant Pathology",NA,36,"6","10.1071/AP07062","M. G. EkinsE. A. B. AitkenK. C. Goulter",2007,"http://link.springer.com/article/10.1071/AP07062","Article",NA
"69","Carpogenic germination","Wild Lactuca species, their genetic diversity, resistance to diseases and pests, and exploitation in lettuce breeding","European Journal of Plant Pathology",NA,138,"3","10.1007/s10658-013-0254-z","Aleš LebedaEva KřístkováMiloslav KitnerBarbora MieslerováMichaela JemelkováDavid A. C. Pink",2014,"http://link.springer.com/article/10.1007/s10658-013-0254-z","Article",NA
"70","Carpogenic germination","Biological control of Sclerotinia sclerotiorum attacking soybean plants. Degradation of the cell walls of this pathogen by Trichoderma harzianum (BAFC 742)","Mycopathologia",NA,142,"3","10.1023/A:1006910707804","Ana B. MenendezAlicia Godeas",1998,"http://link.springer.com/article/10.1023/A%3A1006910707804","Article",NA
"71","Carpogenic germination","Incidence of root rot of muskmelon in different soil management practices","European Journal of Plant Pathology",NA,152,"2","10.1007/s10658-018-1488-6","Paula G. M. L. NascimentoMárcia M. Q. AmbrósioFrancisco C. L. FreitasBeatriz L. S. CruzAndrea M. M. DantasRui S. JúniorWashington L. da Silva",2018,"http://link.springer.com/article/10.1007/s10658-018-1488-6","Article",NA
"72","Carpogenic germination","Clover rot","The Botanical Review",NA,50,"4","10.1007/BF02862632","Simon W. Scott",1984,"http://link.springer.com/article/10.1007/BF02862632","Article",NA
"73","Carpogenic germination","Assessing the phenotypic and genotypic diversity of Sclerotinia sclerotiorum in France","European Journal of Plant Pathology",NA,152,"4","10.1007/s10658-018-1493-9","Christel LeyronasMarc BardinKarine BerthierMagali DuffaudClaire TrouletMarie TorresFrançois VilleneuvePhilippe C. Nicot",2018,"http://link.springer.com/article/10.1007/s10658-018-1493-9","Article",NA
"74","Carpogenic germination","Cinnamon powder: an in vitro and in vivo evaluation of antifungal and plant growth promoting activity","European Journal of Plant Pathology",NA,156,"1","10.1007/s10658-019-01882-0","Jolanta KowalskaJózef TyburskiJoanna KrzymińskaMagdalena Jakubowska",2020,"http://link.springer.com/article/10.1007/s10658-019-01882-0","Article",NA
"75","Carpogenic germination","In vitro Variability of a number of characteristics ofSclerotinia sclerotiorum","Phytoparasitica",NA,18,"4","10.1007/BF02981001","J. A. Torés",1990,"http://link.springer.com/article/10.1007/BF02981001","Article",NA
"76","Carpogenic germination","Effect of Fungicide Application Timing on Sclerotinia Sclerotiorum Infection Rate and Yield in Winter Oilseed Rape","Gesunde Pflanzen",NA,69,"2","10.1007/s10343-017-0392-x","Tomáš SpitzerJan BílovskýJan Kazda",2017,"http://link.springer.com/article/10.1007/s10343-017-0392-x","Article",NA
"77","Carpogenic germination","Anti-inflammatory Activity of Methanolic Extract and an Alkaloid from Palicourea crocea (Sw.) Roem and Schult","Inflammation",NA,42,"3","10.1007/s10753-019-00966-7","Anelise Samara Nazari FormagioPedro Cruz de Oliveira JuniorCarla Roberta Ferreira VolobuffCandida Aparecida Leite KassuyaDiego Cegobia FerreiraClaudia Andrea Lima CardosoMaria Helena SarragiottoZefa Valdevina Pereira",2019,"http://link.springer.com/article/10.1007/s10753-019-00966-7","Article",NA
"78","Carpogenic germination","A simple method for the evaluation of red clover (Trifolium pratense L.) resistance to Sclerotinia trifoliorum","Euphytica",NA,93,"2","10.1023/A:1002914002775","Bertrand DelclosClaire Mousset-DéclasGuy Raynal",1997,"http://link.springer.com/article/10.1023/A%3A1002914002775","Article",NA
"79","Carpogenic germination","Synthesis and fungitoxicity of some pyrimidine derivatives","Folia Microbiologica",NA,38,"3","10.1007/BF02814374","S. A. OufS. M. Sherif",1993,"http://link.springer.com/article/10.1007/BF02814374","Article",NA
"80","Carpogenic germination","Major sclerotial polypeptides of psychrophilic pathogenic fungi: Intracellular localization and antigenic relatedness","Protoplasma",NA,147,"3-Feb","10.1007/BF01403344","W. Jay NewstedN. P. A. Huner",1988,"http://link.springer.com/article/10.1007/BF01403344","Article",NA
"81","Carpogenic germination","Carbon source-dependent antifungal and nematicidal volatiles derived during anaerobic soil disinfestation","European Journal of Plant Pathology",NA,140,"1","10.1007/s10658-014-0442-5","Shashika Shivanthi HewavitharanaDavid RuddellMark Mazzola",2014,"http://link.springer.com/article/10.1007/s10658-014-0442-5","Article",NA
"82","Carpogenic germination","Mating Behaviour and Vegetative Compatibility in Spanish Populations of Botryotinia fuckeliana","European Journal of Plant Pathology",NA,108,"5","10.1023/A:1016062524505","J. DelcánP. Melgarejo",2002,"http://link.springer.com/article/10.1023/A%3A1016062524505","Article",NA
"83","Carpogenic germination","Inheritance of leaf resistance to Sclerotinia sclerotiorum in Brassica napus and its genetic correlation with cotyledon resistance","Euphytica",NA,216,"12","10.1007/s10681-020-02717-4","Muhammad Azam KhanWallace CowlingSurinder Singh BangaMing Pei YouVikrant TyagiBaudh BhartiMartin J. Barbetti",2020,"http://link.springer.com/article/10.1007/s10681-020-02717-4","Article",NA
"84","Carpogenic germination","Synthesis and structure–activity relationships of aliphatic isothiocyanate analogs as antibiotic agents","Medicinal Chemistry Research",NA,22,"7","10.1007/s00044-012-0323-4","Deguang LiYanan ShuPingliang LiWenbing ZhangHanwen NiYongsong Cao",2013,"http://link.springer.com/article/10.1007/s00044-012-0323-4","Article",NA
"85","Carpogenic germination","A Sclerotinia disease assay for screening flowering canola plants in controlled environments","Australasian Plant Pathology",NA,46,"4","10.1007/s13313-017-0486-z","L. F. ThatcherC. A. MyersN. PainC. A. O’SullivanM. M. Roper",2017,"http://link.springer.com/article/10.1007/s13313-017-0486-z","Article",NA
"86","Carpogenic germination","A novel virus that infecting hypovirulent strain XG36-1 of plant fungal pathogen Sclerotinia sclerotiorum","Virology Journal",NA,6,"1","10.1186/1743-422X-6-96","Liyan ZhangYanping FuJiatao XieDaohong JiangGuoqing LiXianhong Yi",2009,"http://link.springer.com/article/10.1186/1743-422X-6-96","Article",NA
"87",NA,"Baseline sensitivity and control efficacy of DMI fungicide epoxiconazole against Sclerotinia sclerotiorum","European Journal of Plant Pathology",NA,141,"2","10.1007/s10658-014-0537-z","Jin-Li LiXiang-Yang LiuYa-Li DiHong-Jie LiangFu-Xing Zhu",2015,"http://link.springer.com/article/10.1007/s10658-014-0537-z","Article","Fungicide and Sclerotinia"
"88",NA,"Baseline sensitivity and cross-resistance to demethylation-inhibiting fungicides in Ontario isolates of Sclerotinia homoeocarpa","European Journal of Plant Pathology",NA,103,"5","10.1023/A:1008671321231","T. HsiangL. YangW. Barton",1997,"http://link.springer.com/article/10.1023/A%3A1008671321231","Article","Fungicide and Sclerotinia"
"89",NA,"Involvement of alternative oxidase in the regulation of sensitivity of Sclerotinia sclerotiorum to the fungicides azoxystrobin and procymidone","Journal of Microbiology",NA,51,"3","10.1007/s12275-013-2534-x","Ting XuYa-Ting WangWu-Sheng LiangFei YaoYong-Hong LiDian-Rong LiHao WangZheng-Yi Wang",2013,"http://link.springer.com/article/10.1007/s12275-013-2534-x","Article","Fungicide and Sclerotinia"
"90",NA,"Relative virulence of isolates of Sclerotinia homoeocarpa with varying sensitivity to propiconazole","European Journal of Plant Pathology",NA,104,"2","10.1023/A:1008614832692","Tom HsiangLin YangWayne Barton",1998,"http://link.springer.com/article/10.1023/A%3A1008614832692","Article","Fungicide and Sclerotinia"
